author_id,name
0,Douglas Adams
1,Mark Watson
2,Delia Sherman
3,Anne McCaffrey
4,Mark Smylie
5,James Van Hise
6,Gary Russell
7,Madeleine L'Engle
8,Edward Lear
9,Dennis Cramer
10,David Smith
11,Terry Jones
12,Adam Sacks
13,Nick Flynn
14,Harold Bloom
15,Eric Hobsbawm
16,Sharyn McCrumb
17,Paul Grushkin
18,Joshua Davis
19,Nicole Hollander
20,David Bach
21,Kevin O'Malley
22,Bill Gardner
23,Leslie Cabarga
24,David E. Carter
25,Ayn Rand
26,David Seidman
27,Lewis Blackwell
28,David Carson
29,Richard Hollis
30,Robert Klanten
31,Scott Henderson
32,Damian Hall
33,Neal Stephenson
34,Khaled Hosseini
35,Orson Scott Card
36,Robert T. Kiyosaki
37,Sharon L. Lechter
38,Janwillem van de Wetering
39,J. Torres
40,National Geographic Society
41,Pearl S. Buck
42,Ayano Morio
43,Marvin Olasky
44,Frank McConnell
45,John McPherson
46,Wil Mara
47,Tracy Hickman
48,Margaret Weis
49,Homer
50,William Shakespeare
51,Aristophanes
52,Anthony Bourdain
53,Patrick O'Donnell
54,Richard P. Martin
55,Jack London
56,Mark Twain
57,Jane Austen
58,Louisa May Alcott
59,Philip Nel
60,Raymond Chandler
61,Michael  White
62,Thom Hartmann
63,Malcolm Gladwell
64,Ted Dekker
65,John  Adams
66,Marlene Targ Brill
67,Dan Millman
68,Herman Melville
69,Gary Gianni
70,Ray Bradbury
71,Will Eisner
72,Terry Pratchett
73,Susan Griffith
74,Thomas Jefferson
75,Umberto Eco
76,Richard Worth
77,Louise Hawes
78,Robert Storr
79,Sun Tzu
80,Bliss Perry
81,Jonathan Swift
82,Joel Smith
83,Matthew Fox
84,Howard Zinn
85,Philip B. Meggs
86,Alain Weill
87,Tite Kubo
88,Tatsuhiko Takimoto
89,Daniel Defoe
90,Garrison Keillor
91,Kevin Baker
92,Alan Brennert
93,Angus Gellatly
94,Isabel Allende
95,Jonathan Ames
96,Jeanne DuPrau
97,Jim Krause
98,Janet Evanovich
99,Zander Cannon
100,Shad Petosky
101,Kevin Cannon
102,Mark Schultz
103,Jim Ottaviani
104,Kaho Miyasaka
105,Arthur Conan Doyle
106,Anna Sewell
